ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
1,optimal terrain analysis particularly identifying areas exceeding original equipment manufacturer-stipulated avoidance abort angles,Surface Features,Terrain And Bathymetry,"{'Surface Features': 1, 'System Constraints': 1, 'Response And Recovery': 1}","{'Terrain And Bathymetry': 1, 'Vehicle Capabilities And Constraints': 1, 'Threats And Risk Management': 1}",False,False,False
1,optimal terrain analysis particularly identifying areas exceeding original equipment manufacturer-stipulated avoidance abort angles,Surface Features,Terrain And Bathymetry,"{'Surface Features': 1, 'System Constraints': 1, 'Response And Recovery': 1}","{'Terrain And Bathymetry': 1, 'Vehicle Capabilities And Constraints': 1, 'Threats And Risk Management': 1}",False,False,False
2,current tidal stream predictions especially east australian current eac influence,Physical Processes,Environmental And Oceanographic Conditions,{'Physical Processes': 5},{'Environmental And Oceanographic Conditions': 5},False,False,False
2,current tidal stream predictions especially home port australian current drift influence,Physical Processes,Environmental And Oceanographic Conditions,{'Physical Processes': 4},{'Environmental And Oceanographic Conditions': 4},False,False,False
3,input speed requirements eg xx mps achieve mission objectives,Objectives,Mission Parameters And Objectives,"{'Performance': 1, 'Objectives': 2}","{'Vehicle Capabilities And Constraints': 1, 'Mission Parameters And Objectives': 2}",False,False,False
3,input speed requirements trajectory track mps achieve mission objectives,Objectives,Mission Parameters And Objectives,"{'Performance': 1, 'Route And Trajectory': 1, 'Objectives': 2}","{'Vehicle Capabilities And Constraints': 1, 'Navigation And Positioning': 1, 'Mission Parameters And Objectives': 2}",False,False,False
86,surface subsea traffic route,Route And Trajectory,Navigation And Positioning,{'Route And Trajectory': 1},{'Navigation And Positioning': 1},False,False,False
86,surface subsea traffic route,Route And Trajectory,Navigation And Positioning,{'Route And Trajectory': 1},{'Navigation And Positioning': 1},False,False,False
87,depth slope route area operations,Surface Features,Terrain And Bathymetry,"{'Surface Features': 1, 'Route And Trajectory': 1}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1}",False,False,False
87,depth gradient route area operations,Surface Features,Terrain And Bathymetry,"{'Surface Features': 1, 'Route And Trajectory': 1}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1}",False,False,False
88,equipment limitations service capabilities,System Constraints,Vehicle Capabilities And Constraints,{'System Constraints': 1},{'Vehicle Capabilities And Constraints': 1},False,False,False
88,equipment limitations service capabilities,System Constraints,Vehicle Capabilities And Constraints,{'System Constraints': 1},{'Vehicle Capabilities And Constraints': 1},False,False,False
89,bottom texture route area operations,Seafloor Characterization,Terrain And Bathymetry,"{'Seafloor Characterization': 1, 'Route And Trajectory': 1}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1}",False,False,False
89,bottom texture route area operations,Seafloor Characterization,Terrain And Bathymetry,"{'Seafloor Characterization': 1, 'Route And Trajectory': 1}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1}",False,False,False
90,seafloor classification infrastructure route area operations,Survey Data,Data Products And Requirements,"{'Seafloor Characterization': 1, 'Route And Trajectory': 1, 'Survey Data': 2}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1, 'Data Products And Requirements': 2}",False,False,False
90,seafloor labeling infrastructure route area operations,Seafloor Characterization,Terrain And Bathymetry,"{'Seafloor Characterization': 1, 'Route And Trajectory': 1, 'Survey Data': 1}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1, 'Data Products And Requirements': 1}",False,False,False
91,ephemeral current tides route area operations,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 1, 'Route And Trajectory': 1}","{'Environmental And Oceanographic Conditions': 1, 'Navigation And Positioning': 1}",False,False,False
