ResponseID,response,predicted_category,all_scores,has_protected,has_conflict,has_cross_conflict,validation_summary
27,use bathymetric uncertainty models estimate feature detection confidence,Terrain And Bathymetry,"{'Terrain And Bathymetry': 0.5, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.5}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
27,use bathymetric uncertainty models estimate feature detection error,Terrain And Bathymetry,"{'Terrain And Bathymetry': 0.5, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.5}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
28,apply standard deviation thresholds feature classification reliability,Data Products And Requirements,"{'Terrain And Bathymetry': 0.16666666666666666, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.3333333333333333, 'Communications And Control': 0.16666666666666666, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.3333333333333333}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
28,apply standard deviation thresholds feature labeling reliability,Terrain And Bathymetry,"{'Terrain And Bathymetry': 0.3333333333333333, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.3333333333333333, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.3333333333333333}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
29,reference historical multibeam echo sounder datasets similar conditions benchmark performance,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.25, 'Environmental And Oceanographic Conditions': 0.25, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.5, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
29,reference historical multibeam echo sounder datasets similar conditions benchmark performance,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.25, 'Environmental And Oceanographic Conditions': 0.25, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.5, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
30,incorporate predictive modelling sonar performance based mission parameters,Vehicle Capabilities And Constraints,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.5, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.5, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
30,incorporate predictive modelling sonar performance based mission parameters,Vehicle Capabilities And Constraints,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.5, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.5, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
206,understanding historical performance known defects equipment,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 1.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
206,understanding historical performance known defects equipment,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 1.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
