ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
56,habitat disruption risk environmental compliance,Environmental Context,Environmental And Oceanographic Conditions,"{'Environmental Context': 1, 'Environmental Risks': 1, 'Hazards': 1}","{'Environmental And Oceanographic Conditions': 2, 'Threats And Risk Management': 1}",False,False,False
56,habitat disruption risk environmental compliance,Environmental Context,Environmental And Oceanographic Conditions,"{'Environmental Context': 1, 'Environmental Risks': 1, 'Hazards': 1}","{'Environmental And Oceanographic Conditions': 2, 'Threats And Risk Management': 1}",False,False,False
57,bottom object interference unmanned underwater vehicle sensors mobility,Collision And Obstruction,Threats And Risk Management,{'Collision And Obstruction': 1},{'Threats And Risk Management': 1},False,False,False
57,bottom object interference unmanned underwater vehicle sensors mobility,Collision And Obstruction,Threats And Risk Management,{'Collision And Obstruction': 1},{'Threats And Risk Management': 1},False,False,False
58,surf zone dynamics potential vehicle instability,Performance,Vehicle Capabilities And Constraints,"{'Performance': 1, 'Depth Limits': 1, 'Navigation Systems': 1}","{'Vehicle Capabilities And Constraints': 2, 'Navigation And Positioning': 1}",False,False,False
58,surf zone dynamics potential auv instability,Performance,Vehicle Capabilities And Constraints,"{'Performance': 1, 'Depth Limits': 1, 'Navigation Systems': 1}","{'Vehicle Capabilities And Constraints': 2, 'Navigation And Positioning': 1}",False,False,False
59,risk detection interference high-traffic sensitive zones,Hazards,Threats And Risk Management,{'Hazards': 1},{'Threats And Risk Management': 1},False,False,False
59,risk detection interference high-traffic sensitive zones,Hazards,Threats And Risk Management,{'Hazards': 1},{'Threats And Risk Management': 1},False,False,False
298,collision avoidance,Safety And Mitigation,Threats And Risk Management,"{'Safety And Mitigation': 1, 'Collision And Obstruction': 1}",{'Threats And Risk Management': 2},False,False,False
298,collision avoidance,Safety And Mitigation,Threats And Risk Management,"{'Safety And Mitigation': 1, 'Collision And Obstruction': 1}",{'Threats And Risk Management': 2},False,False,False
299,sensor performance prior mission start bench test,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
299,payload performance prior mission endurance bench test,Performance,Vehicle Capabilities And Constraints,"{'Performance': 1, 'Hardware': 1, 'Objectives': 1}","{'Vehicle Capabilities And Constraints': 2, 'Mission Parameters And Objectives': 1}",False,False,False
300,ephemeral current tides route area operations,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 1, 'Route And Trajectory': 1}","{'Environmental And Oceanographic Conditions': 1, 'Navigation And Positioning': 1}",False,False,False
300,ephemeral current tidal stream route area operations,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 3, 'Route And Trajectory': 1}","{'Environmental And Oceanographic Conditions': 3, 'Navigation And Positioning': 1}",False,False,False
301,threat assessment cyber risk mission,Hazards,Threats And Risk Management,"{'Objectives': 1, 'Hazards': 2, 'Safety And Mitigation': 1}","{'Mission Parameters And Objectives': 1, 'Threats And Risk Management': 3}",False,False,False
301,threat assessment cyber vulnerability mission,Objectives,Mission Parameters And Objectives,"{'Objectives': 1, 'Hazards': 1}","{'Mission Parameters And Objectives': 1, 'Threats And Risk Management': 1}",False,False,False
302,seafloor classification infrastructure route area operations,Survey Data,Data Products And Requirements,"{'Seafloor Characterization': 1, 'Route And Trajectory': 1, 'Survey Data': 2}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1, 'Data Products And Requirements': 2}",False,False,False
302,seafloor clustering infrastructure route area operations,Seafloor Characterization,Terrain And Bathymetry,"{'Seafloor Characterization': 1, 'Route And Trajectory': 1, 'Survey Data': 1}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1, 'Data Products And Requirements': 1}",False,False,False
303,endurance vehicle,Performance,Vehicle Capabilities And Constraints,{'Performance': 1},{'Vehicle Capabilities And Constraints': 1},False,False,False
303,duration vehicle,uncategorised,uncategorised,{},{},False,False,False
304,maximum depth vehicle,uncategorised,uncategorised,{},{},False,False,False
304,maximum depth vehicle,uncategorised,uncategorised,{},{},False,False,False
305,minimum depth vehicle,uncategorised,uncategorised,{},{},False,False,False
305,minimum depth vehicle,uncategorised,uncategorised,{},{},False,False,False
306,navigational hazards route area operations,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 2, 'Accuracy And Hazards': 1, 'Hazards': 2}","{'Navigation And Positioning': 3, 'Threats And Risk Management': 2}",False,False,False
306,navigational hazards planned line area operations,Hazards,Navigation And Positioning,"{'Route And Trajectory': 1, 'Accuracy And Hazards': 1, 'Hazards': 2}","{'Navigation And Positioning': 2, 'Threats And Risk Management': 2}",False,False,False
307,vehicle communication requirements,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Performance Constraints': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 2, 'Communications And Control': 1}",False,False,False
307,rov communication requirements,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
308,no-go zones route area operations,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 1, 'Accuracy And Hazards': 1}",{'Navigation And Positioning': 2},False,False,False
308,no-go zones route area of operation operations,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 1, 'Accuracy And Hazards': 1, 'Spatial Aspects': 1, 'Field Operations': 1}","{'Navigation And Positioning': 2, 'Mission Parameters And Objectives': 1, 'Operational Logistics': 1}",False,False,False
309,actions loss communications loss vehicle etc,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
309,actions loss communications loss vehicle etc,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
310,zone confidence route area operations,Route And Trajectory,Navigation And Positioning,{'Route And Trajectory': 1},{'Navigation And Positioning': 1},False,False,False
310,sector confidence route area operations,Route And Trajectory,Navigation And Positioning,{'Route And Trajectory': 1},{'Navigation And Positioning': 1},False,False,False
