ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
68,current systems provide baseline risk profiling lack dynamic environmental integration,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 1, 'Environmental Context': 1, 'Hazards': 1, 'Risk Performance And Effectiveness': 1, 'Data Context': 1}","{'Environmental And Oceanographic Conditions': 2, 'Threats And Risk Management': 2, 'Historical And Contextual Data': 1}",False,False,False
68,current systems provide baseline exposure profiling lack dynamic environmental integration,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 1, 'Environmental Context': 1, 'Risk Performance And Effectiveness': 1, 'Data Context': 1}","{'Environmental And Oceanographic Conditions': 2, 'Threats And Risk Management': 1, 'Historical And Contextual Data': 1}",False,False,False
69,risk models incorporate real-time oceanographic data unmanned underwater vehicle performance metrics,Environmental Context,Environmental And Oceanographic Conditions,"{'Environmental Context': 1, 'Hazards': 1}","{'Environmental And Oceanographic Conditions': 1, 'Threats And Risk Management': 1}",False,False,False
69,risk forecast model incorporate real-time oceanographic data unmanned underwater auv performance metrics,Measurement And Models,Environmental And Oceanographic Conditions,"{'Measurement And Models': 1, 'Environmental Context': 1, 'Hazards': 1}","{'Environmental And Oceanographic Conditions': 2, 'Threats And Risk Management': 1}",False,False,False
70,effectiveness limited static thresholds absence adaptive learning past missions,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
70,performance minimal static thresholds absence adaptive learning past missions,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
326,standard operating procedures security risk assessment used evaluate endorse auv risk,Risk Performance And Effectiveness,Threats And Risk Management,"{'Hazards': 1, 'Risk Performance And Effectiveness': 2}",{'Threats And Risk Management': 3},False,False,False
326,standard operating procedures security exposure assessment essential evaluate endorse auv risk,Hazards,Threats And Risk Management,"{'Hazards': 1, 'Risk Performance And Effectiveness': 1}",{'Threats And Risk Management': 2},False,False,False
327,environmental conditions stipulated objective quality evidence,Environmental Context,Environmental And Oceanographic Conditions,"{'Environmental Context': 2, 'Objectives': 1, 'Risk Performance And Effectiveness': 1}","{'Environmental And Oceanographic Conditions': 2, 'Mission Parameters And Objectives': 1, 'Threats And Risk Management': 1}",False,False,False
327,environmental conditions stipulated goal quality evidence,Environmental Context,Environmental And Oceanographic Conditions,{'Environmental Context': 2},{'Environmental And Oceanographic Conditions': 2},False,False,False
328,original equipment manufacturer software supplies endurance estimation time mission,Performance,Vehicle Capabilities And Constraints,"{'Performance': 1, 'Objectives': 1}","{'Vehicle Capabilities And Constraints': 1, 'Mission Parameters And Objectives': 1}",False,False,False
328,original equipment manufacturer software supplies endurance estimation time mission,Performance,Vehicle Capabilities And Constraints,"{'Performance': 1, 'Objectives': 1}","{'Vehicle Capabilities And Constraints': 1, 'Mission Parameters And Objectives': 1}",False,False,False
329,suitably qualified experienced personnel mission commanders leading operations,Objectives,Mission Parameters And Objectives,"{'Objectives': 1, 'Control Systems': 1}","{'Mission Parameters And Objectives': 1, 'Communications And Control': 1}",False,False,False
329,suitably qualified experienced personnel mission commanders leading operations,Objectives,Mission Parameters And Objectives,"{'Objectives': 1, 'Control Systems': 1}","{'Mission Parameters And Objectives': 1, 'Communications And Control': 1}",False,False,False
