ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
39,multibeam echo sounder metadata logs eg ping rate swath width coverage maps,Bathymetric Data Products,Data Products And Requirements,"{'Bathymetric Data Products': 2, 'Survey Data': 2, 'Metadata And Format': 1}","{'Terrain And Bathymetry': 2, 'Data Products And Requirements': 3}",False,False,False
39,multibeam echo sounder metadata logs transit ping rate swath coordinate coverage maps,Bathymetric Data Products,Terrain And Bathymetry,"{'Bathymetric Data Products': 2, 'Survey Data': 1, 'Metadata And Format': 1, 'Deployment': 1}","{'Terrain And Bathymetry': 2, 'Data Products And Requirements': 2, 'Operational Logistics': 1}",False,False,False
40,annotated feature detection outputs confidence scores,Metadata And Records,Audit And Accountability,{'Metadata And Records': 1},{'Audit And Accountability': 1},False,False,False
40,annotated feature detection outputs confidence scores,Metadata And Records,Audit And Accountability,{'Metadata And Records': 1},{'Audit And Accountability': 1},False,False,False
41,survey track overlays timestamps environmental conditions,Environmental Context,Environmental And Oceanographic Conditions,"{'Environmental Context': 2, 'Operational Windows': 1, 'Mission Logging': 1}","{'Environmental And Oceanographic Conditions': 2, 'Mission Parameters And Objectives': 1, 'Audit And Accountability': 1}",False,False,False
41,survey track overlays timestamps environmental climate,Environmental Context,Environmental And Oceanographic Conditions,"{'Environmental Context': 1, 'Operational Windows': 1, 'Mission Logging': 1}","{'Environmental And Oceanographic Conditions': 1, 'Mission Parameters And Objectives': 1, 'Audit And Accountability': 1}",False,False,False
42,post-mission analysis reports highlighting anomalies lessons learned,Post Mission Analysis,Historical And Contextual Data,"{'Objectives': 1, 'Analysis And Learning': 1, 'Post Mission Analysis': 2}","{'Mission Parameters And Objectives': 1, 'Historical And Contextual Data': 3}",False,False,False
42,post-mission analysis reports highlighting anomalies output learned,Objectives,Historical And Contextual Data,"{'Objectives': 1, 'Analysis And Learning': 1, 'Post Mission Analysis': 1}","{'Mission Parameters And Objectives': 1, 'Historical And Contextual Data': 2}",False,False,False
238,initial test check lists pre-dive etc,uncategorised,uncategorised,{},{},False,False,False
238,initial test check lists pre-dive etc,uncategorised,uncategorised,{},{},False,False,False
239,signatory user account information,Accountability,Audit And Accountability,"{'Accountability': 1, 'Identity And Signoff': 1}","{'Audit And Accountability': 1, 'Governance Security And Access': 1}",False,False,False
239,signatory user account dataset,uncategorised,uncategorised,{},{},False,False,False
240,specific job files load template,uncategorised,uncategorised,{},{},False,False,False
240,specific job files load job file,uncategorised,uncategorised,{},{},False,False,False
241,time task versus completion factors ratio,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
241,time task versus completion factors ratio,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
242,holes data sensor performance issues,Data Integrity And Resilience,Data Products And Requirements,"{'Data Integrity And Resilience': 1, 'Mission Data Integrity': 1}",{'Data Products And Requirements': 2},False,False,False
242,holes data detector performance issues,uncategorised,uncategorised,{},{},False,False,False
243,depth discrepancies,Data Integrity And Resilience,Data Products And Requirements,"{'Data Integrity And Resilience': 1, 'Mission Data Integrity': 1}",{'Data Products And Requirements': 2},False,False,False
243,depth discrepancies,Data Integrity And Resilience,Data Products And Requirements,"{'Data Integrity And Resilience': 1, 'Mission Data Integrity': 1}",{'Data Products And Requirements': 2},False,False,False
244,track interest,uncategorised,uncategorised,{},{},False,False,False
244,track interest,uncategorised,uncategorised,{},{},False,False,False
245,automated procedure record contacts,uncategorised,uncategorised,{},{},False,False,False
245,automated procedure record contacts,uncategorised,uncategorised,{},{},False,False,False
