PredictedChild,has_protected,has_conflict,has_cross_conflict,count
Accuracy And Hazards,False,False,False,1
Analysis And Learning,False,False,False,1
Bathymetric Data Products,False,False,False,2
Environmental Context,False,False,False,4
Hazards,False,False,False,2
Mission History,False,False,False,1
Performance,False,False,False,2
Physical Processes,False,False,False,1
Quality And Confidence,False,False,False,1
Route And Trajectory,False,False,False,3
Safety And Mitigation,False,False,False,2
uncategorised,False,False,False,6
