ResponseID,response,predicted_category,all_scores,has_protected,has_conflict,has_cross_conflict,validation_summary
52,use base map models layered environmental hydrographic data,Environmental And Oceanographic Conditions,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 1.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
52,apply launch site map models layered environmental hydrographic data,Environmental And Oceanographic Conditions,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.5, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.5, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
53,apply viability scoring based mission parameters eg stealth speed safety,Vehicle Capabilities And Constraints,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.5, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.16666666666666666, 'Threats And Risk Management': 0.16666666666666666, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.16666666666666666}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
53,apply viability scoring sea state mission parameters eg stealth speed safety,Vehicle Capabilities And Constraints,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.14285714285714285, 'Vehicle Capabilities And Constraints': 0.42857142857142855, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.14285714285714285, 'Threats And Risk Management': 0.14285714285714285, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.14285714285714285}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
54,incorporate predictive modelling beach access varying conditions,Environmental And Oceanographic Conditions,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.5, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.5, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
54,incorporate predictive modelling beach access varying conditions,Environmental And Oceanographic Conditions,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.5, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.5, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
55,reference historical beach assessments landing success rates,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.2, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.6, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.2, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
55,reference historical beach assessments landing success rates,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.2, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.6, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.2, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
286,understanding historical performance known defects equipment,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.0, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 1.0, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
286,understanding historical performance demonstrate defects equipment,Historical And Contextual Data,"{'Terrain And Bathymetry': 0.3333333333333333, 'Environmental And Oceanographic Conditions': 0.0, 'Vehicle Capabilities And Constraints': 0.0, 'Navigation And Positioning': 0.0, 'Mission Parameters And Objectives': 0.0, 'Threats And Risk Management': 0.0, 'Historical And Contextual Data': 0.6666666666666666, 'Data Products And Requirements': 0.0, 'Communications And Control': 0.0, 'Operational Logistics': 0.0, 'Estimation And Uncertainty Modeling': 0.0}",False,False,False,"{'valid': 1, 'protected': 0, 'conflict': 0, 'cross_conflict': 0}"
