ResponseID,ResponseText,PredictedChild,PredictedParent,ChildScores,ParentScores,has_protected,has_conflict,has_cross_conflict
31,risk incomplete coverage due terrain shadowing sensor limitations,Surface Features,Terrain And Bathymetry,"{'Surface Features': 1, 'Bathymetric Data Products': 1, 'Hazards': 1}","{'Terrain And Bathymetry': 2, 'Threats And Risk Management': 1}",False,False,False
31,vulnerability incomplete coverage due terrain shadowing instrument limitations,Surface Features,Terrain And Bathymetry,"{'Surface Features': 1, 'Bathymetric Data Products': 1, 'Navigation Systems': 1}","{'Terrain And Bathymetry': 2, 'Navigation And Positioning': 1}",False,False,False
32,data dropouts multibeam echo sounder due environmental interference system faults,Bathymetric Data Products,Terrain And Bathymetry,"{'Bathymetric Data Products': 1, 'Environmental Context': 1}","{'Terrain And Bathymetry': 1, 'Environmental And Oceanographic Conditions': 1}",False,False,False
32,data dropouts multibeam echo sounder due environmental interference system faults,Bathymetric Data Products,Terrain And Bathymetry,"{'Bathymetric Data Products': 1, 'Environmental Context': 1}","{'Terrain And Bathymetry': 1, 'Environmental And Oceanographic Conditions': 1}",False,False,False
33,navigation drift affecting survey alignment data integrity,Physical Processes,Navigation And Positioning,"{'Physical Processes': 1, 'Route And Trajectory': 1, 'Operational Risks': 1}","{'Environmental And Oceanographic Conditions': 1, 'Navigation And Positioning': 2}",False,False,False
33,piloting drift affecting survey alignment data integrity,Physical Processes,Environmental And Oceanographic Conditions,{'Physical Processes': 1},{'Environmental And Oceanographic Conditions': 1},False,False,False
34,overlap errors adjacent survey lanes,Bathymetric Data Products,Terrain And Bathymetry,"{'Bathymetric Data Products': 1, 'Data Quality': 1}","{'Terrain And Bathymetry': 1, 'Data Products And Requirements': 1}",False,False,False
34,overlap errors adjacent survey wave height,Bathymetric Data Products,Terrain And Bathymetry,"{'Bathymetric Data Products': 1, 'Physical Processes': 1, 'Data Quality': 1}","{'Terrain And Bathymetry': 1, 'Environmental And Oceanographic Conditions': 1, 'Data Products And Requirements': 1}",False,False,False
218,collision avoidance,Safety And Mitigation,Threats And Risk Management,"{'Safety And Mitigation': 1, 'Collision And Obstruction': 1}",{'Threats And Risk Management': 2},False,False,False
218,collision avoidance,Safety And Mitigation,Threats And Risk Management,"{'Safety And Mitigation': 1, 'Collision And Obstruction': 1}",{'Threats And Risk Management': 2},False,False,False
219,sensor performance prior mission start bench test,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
219,sensor effectiveness prior mission start bench test,Objectives,Mission Parameters And Objectives,{'Objectives': 1},{'Mission Parameters And Objectives': 1},False,False,False
220,ephemeral current tides route area operations,Physical Processes,Environmental And Oceanographic Conditions,"{'Physical Processes': 1, 'Route And Trajectory': 1}","{'Environmental And Oceanographic Conditions': 1, 'Navigation And Positioning': 1}",False,False,False
220,ephemeral tide tides route area operations,Route And Trajectory,Navigation And Positioning,{'Route And Trajectory': 1},{'Navigation And Positioning': 1},False,False,False
221,threat assessment cyber risk mission,Hazards,Threats And Risk Management,"{'Objectives': 1, 'Hazards': 2, 'Safety And Mitigation': 1}","{'Mission Parameters And Objectives': 1, 'Threats And Risk Management': 3}",False,False,False
221,threat assessment cyber exposure mission,Objectives,Mission Parameters And Objectives,"{'Objectives': 1, 'Hazards': 1}","{'Mission Parameters And Objectives': 1, 'Threats And Risk Management': 1}",False,False,False
222,seafloor classification infrastructure route area operations,Survey Data,Data Products And Requirements,"{'Seafloor Characterization': 1, 'Route And Trajectory': 1, 'Survey Data': 2}","{'Terrain And Bathymetry': 1, 'Navigation And Positioning': 1, 'Data Products And Requirements': 2}",False,False,False
222,seafloor classification infrastructure path area operations,Survey Data,Data Products And Requirements,"{'Seafloor Characterization': 1, 'Survey Data': 2}","{'Terrain And Bathymetry': 1, 'Data Products And Requirements': 2}",False,False,False
223,endurance vehicle,Performance,Vehicle Capabilities And Constraints,{'Performance': 1},{'Vehicle Capabilities And Constraints': 1},False,False,False
223,duration vehicle,uncategorised,uncategorised,{},{},False,False,False
224,maximum depth vehicle,uncategorised,uncategorised,{},{},False,False,False
224,maximum depth vehicle,uncategorised,uncategorised,{},{},False,False,False
225,minimum depth vehicle,uncategorised,uncategorised,{},{},False,False,False
225,minimum seafloor elevation vehicle,Seafloor Characterization,Terrain And Bathymetry,{'Seafloor Characterization': 1},{'Terrain And Bathymetry': 1},False,False,False
226,navigational hazards route area operations,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 2, 'Accuracy And Hazards': 1, 'Hazards': 2}","{'Navigation And Positioning': 3, 'Threats And Risk Management': 2}",False,False,False
226,navigational hazards route area undertaking,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 2, 'Accuracy And Hazards': 1, 'Hazards': 2}","{'Navigation And Positioning': 3, 'Threats And Risk Management': 2}",False,False,False
227,vehicle communication requirements,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Performance Constraints': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 2, 'Communications And Control': 1}",False,False,False
227,vehicle communication need,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
228,no-go zones route area operations,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 1, 'Accuracy And Hazards': 1}",{'Navigation And Positioning': 2},False,False,False
228,no-go zones route sector operations,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 1, 'Accuracy And Hazards': 1}",{'Navigation And Positioning': 2},False,False,False
229,actions loss communications loss vehicle etc,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
229,actions breakdown communications loss vehicle etc,Hardware,Vehicle Capabilities And Constraints,"{'Hardware': 1, 'Comms Infrastructure': 1}","{'Vehicle Capabilities And Constraints': 1, 'Communications And Control': 1}",False,False,False
230,zone confidence route area operations,Route And Trajectory,Navigation And Positioning,{'Route And Trajectory': 1},{'Navigation And Positioning': 1},False,False,False
230,zone route confidence route area operations,Route And Trajectory,Navigation And Positioning,"{'Route And Trajectory': 2, 'Confidence Scoring': 1}","{'Navigation And Positioning': 2, 'Estimation And Uncertainty Modeling': 1}",False,False,False
