PredictedChild,has_protected,has_conflict,has_cross_conflict,count
Accuracy And Hazards,False,False,False,2
Comms Infrastructure,False,False,False,1
Environmental Context,False,False,False,1
Hardware,False,False,False,1
Hazards,False,False,False,3
Navigation Systems,False,False,False,2
Performance,False,False,False,1
Physical Processes,False,False,False,1
Route And Trajectory,False,False,False,6
Seafloor Characterization,False,False,False,1
Surface Features,False,False,False,2
System Constraints,False,False,False,1
Temporal Aspects,False,False,False,1
Water Properties,False,False,False,2
uncategorised,False,False,False,9
